Date,Adj Close,,LR_SP
31-03-2003,848.1799927,2.928488024,
01-04-2003,858.4799805,2.933730172,-0.005242148
02-04-2003,880.9000244,2.944926622,-0.01119645
03-04-2003,876.4500122,2.942727151,0.002199471
04-04-2003,878.8499756,2.943914745,-0.001187594
07-04-2003,879.9299927,2.944448121,-0.000533376
08-04-2003,878.289978,2.943637927,0.000810194
09-04-2003,865.9899902,2.937512872,0.006125055
10-04-2003,871.5800171,2.940307265,-0.002794392
11-04-2003,868.2999878,2.938669795,0.00163747
14-04-2003,885.2299805,2.947056114,-0.008386319
15-04-2003,890.8099976,2.949785082,-0.002728969
16-04-2003,879.9099731,2.94443824,0.005346842
17-04-2003,893.5800171,2.951133448,-0.006695208
21-04-2003,892.0100098,2.950369728,0.00076372
22-04-2003,911.3699951,2.959694726,-0.009324998
23-04-2003,919.0200195,2.963324972,-0.003630246
24-04-2003,911.4299927,2.959723316,0.003601656
25-04-2003,898.8099976,2.953667894,0.006055421
28-04-2003,914.8400269,2.961345158,-0.007677263
29-04-2003,917.8400269,2.962766993,-0.001421835
30-04-2003,916.9199829,2.962331438,0.000435556
01-05-2003,916.2999878,2.962037681,0.000293757
02-05-2003,930.0800171,2.968520314,-0.006482633
05-05-2003,926.5499878,2.966868855,0.001651459
06-05-2003,934.3900146,2.970528189,-0.003659334
07-05-2003,929.6199951,2.968305456,0.002222732
08-05-2003,920.2700195,2.963915274,0.004390182
09-05-2003,933.4099731,2.970072437,-0.006157163
12-05-2003,945.1099854,2.975482352,-0.005409915
13-05-2003,942.2999878,2.974189185,0.001293166
14-05-2003,939.2800293,2.972795089,0.001394097
15-05-2003,946.6699829,2.976198607,-0.003403518
16-05-2003,944.2999878,2.975109984,0.001088623
19-05-2003,920.7700195,2.96415117,0.010958814
20-05-2003,919.7299805,2.963660343,0.000490827
21-05-2003,923.4199829,2.965399268,-0.001738925
22-05-2003,931.8699951,2.969355328,-0.00395606
23-05-2003,933.2199707,2.969984024,-0.000628696
27-05-2003,951.4799805,2.978399655,-0.008415631
28-05-2003,953.2199707,2.979193133,-0.000793478
29-05-2003,949.6400146,2.977559006,0.001634127
30-05-2003,963.5900269,2.983892296,-0.00633329
02-06-2003,967,2.985426474,-0.001534178
03-06-2003,971.5599976,2.987469625,-0.002043151
04-06-2003,986.2399902,2.993982608,-0.006512983
05-06-2003,990.1400146,2.995696612,-0.001714004
06-06-2003,987.7600098,2.994651439,0.001045173
09-06-2003,975.9299927,2.989418665,0.005232774
10-06-2003,984.8400269,2.993365691,-0.003947026
11-06-2003,997.4799805,2.998904188,-0.005538497
12-06-2003,998.5100098,2.999352423,-0.000448235
13-06-2003,988.6099854,2.995024993,0.00432743
16-06-2003,1010.73999,3.004639449,-0.009614456
17-06-2003,1011.659973,3.005034567,-0.000395118
18-06-2003,1010.090027,3.004360083,0.000674484
19-06-2003,994.7000122,2.997692123,0.00666796
20-06-2003,995.6900024,2.998124146,-0.000432023
23-06-2003,981.6400146,2.991952253,0.006171893
24-06-2003,983.4500122,2.99275229,-0.000800037
25-06-2003,975.3200073,2.989147133,0.003605157
26-06-2003,985.8200073,2.993797628,-0.004650495
27-06-2003,976.2199707,2.989547688,0.00424994
30-06-2003,974.5,2.988781843,0.000765844
01-07-2003,982.3200073,2.99225299,-0.003471146
02-07-2003,993.75,2.997277142,-0.005024152
03-07-2003,985.7000122,2.993744762,0.00353238
07-07-2003,1004.419983,3.001915344,-0.008170582
08-07-2003,1007.840027,3.003391603,-0.001476258
09-07-2003,1002.210022,3.000958741,0.002432861
10-07-2003,988.7000122,2.99506454,0.005894202
11-07-2003,998.1400146,2.999191466,-0.004126927
14-07-2003,1003.859985,3.001673143,-0.002481677
15-07-2003,1000.419983,3.000182358,0.001490785
16-07-2003,994.0900269,2.997425717,0.002756641
17-07-2003,981.7299805,2.991992054,0.005433663
18-07-2003,993.3200073,2.997089183,-0.005097129
21-07-2003,978.7999878,2.990693955,0.006395228
22-07-2003,988.1099854,2.994805288,-0.004111333
23-07-2003,988.6099854,2.995024993,-0.000219705
